"Player","Team","Pos","Fantasy Points Pts","Fantasy Points x-Pts","Fantasy Points +/-","Points Per Game PPG","Points Per Game x-PPG","Points Per Game +/-","#G","Receiving Rec","Receiving X-Rec","Receiving Yds","Receiving X-Yds","Receiving TD","Receiving X-TD","Rushing Yds","Rushing X-Yds","Rushing TD","Rushing X-TD"
"Samaje Perine","KC","RB","67.4","53.8","13.600000000000009","4","3.2","0.8","17","28","27.28","322","180.16","1","1.6896","92","83.1432","1","0.61"
"Luke Schoonmaker","DAL","TE","43.6","44.7","-1.1000000000000014","2.6","2.6","-0.1","17","27","25.01","241","263.12","1","0.9792","0","0","0","0"
"Christian Kirk","JAX","WR","57.4","73.7","-16.300000000000004","7.2","9.2","-2","8","27","29.89","379","441.48","1","2.4288","0","0","0","0"
"Malik Washington","MIA","WR","43.8","46.5","-2.700000000000003","3.1","3.3","-0.2","14","26","25.94","223","242.36","0","1.1424","25","22.9712","1","0.03"
"Tyler Johnson","LA","WR","48.1","58.4","-10.299999999999997","3.2","3.9","-0.7","15","26","27.69","291","261.14","1","3.0816","0","0","0","0"
"Brandin Cooks","DAL","WR","56.6","78.8","-22.199999999999996","5.7","7.9","-2.2","10","26","29.63","259","395.43","3","3.7824","-3","11.8384","0","0.09"
"Brandon Aiyuk","SF","WR","49.9","67.8","-17.9","7.1","9.7","-2.6","7","25","28.08","374","408.11","0","2.16","0","0","0","0"
"John Metchie III","HST","WR","43.4","54.2","-10.800000000000004","3.3","4.2","-0.8","13","24","23.26","254","270.02","1","2.6016","0","0","0","0"
"Grant Calcaterra","PHI","TE","47.8","38.1","9.699999999999996","2.8","2.2","0.6","17","24","20.85","298","222.38","1","0.9024","0","0","0","0"
"Van Jefferson","PIT","WR","51.6","68.8","-17.199999999999996","3","4","-1","17","24","26.32","276","324.12","2","3.8784","0","0","0","0"
"Rashee Rice","KC","WR","52.9","38.2","14.699999999999996","13.2","9.6","3.7","4","24","22.89","288","230.72","2","0.5472","1","3.6456","0","0"
"Miles Sanders","CAR","RB","65.3","62.7","2.5999999999999943","5.9","5.7","0.2","11","24","23.29","148","149","1","0.6048","205","231.4082","2","1.57"
"Jaleel McLaughlin","DEN","RB","87.2","89.5","-2.299999999999997","5.5","5.6","-0.1","16","24","23.33","76","113.08","2","0.816","496","465.932","1","2.51"
